missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.05,correlation_topology_neighbor_fill,0,0,flow_group,high_flow,overall,True,67470,67470,67470,169.2577667236328,470.81591796875,0.0446765534579753,0.0557630471885204,0.0636311413015324,11419822.0,14955915264.0,3014.3271484375,67470,3762.332763671875,67470,2911.89208984375,10311.03515625
0.05,correlation_topology_neighbor_fill,0,0,flow_group,low_flow,overall,True,67596,67596,67596,96.19650268554688,237.02333068847656,0.1266405880451202,0.1103397533297538,0.1592265724288784,6502499.0,3797547520.0,8405.388671875,66372,7359.88232421875,66702,0.0,1488.591552734375
0.05,correlation_topology_neighbor_fill,0,0,flow_group,mid_flow,overall,True,66803,66803,66803,165.94613647460938,359.96600341796875,0.0744274035096168,0.0853146314620971,0.2529115769657127,11085700.0,8656033792.0,4971.9736328125,66803,5699.2734375,66803,1488.5958251953125,2911.8837890625
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,long,True,32573,32573,32573,269.88720703125,534.5795288085938,0.1445932388305664,0.1402231156826019,0.0608591912804535,8791036.0,9308557312.0,4685.9775390625,32408,4559.63525390625,32517,0.0,8783.875
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,mid,True,15337,15337,15337,141.74664306640625,271.4632568359375,0.1006261631846427,0.0760003626346588,0.0309754993711373,2173968.25,1130218752.0,1532.435791015625,15229,1160.1455078125,15265,0.0,8763.8056640625
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,short,True,153959,153959,153959,117.19364166259766,332.0072326660156,0.0664885118603706,0.0724687799811363,0.0321992144954302,18043016.0,16970718208.0,10173.2744140625,153008,11101.7099609375,153193,0.0,10311.03515625
0.05,correlation_topology_neighbor_fill,0,0,overall,overall,overall,True,201869,201869,201869,143.69723510742188,368.4815368652344,0.081694982945919,0.0836994051933288,0.0357366191930672,29008018.0,27409498112.0,16391.689453125,200645,16821.48828125,200975,0.0,10311.03515625
0.05,correlation_topology_neighbor_fill,1,1,flow_group,high_flow,overall,True,65246,65246,447,65.23759460449219,143.39517211914062,0.0167026501148939,0.0169940907508134,0.0194198211203828,4256492.0,1341599744.0,1089.7811279296875,65246,1108.79638671875,65246,2911.89111328125,10295.8505859375
0.05,correlation_topology_neighbor_fill,1,1,flow_group,low_flow,overall,True,66809,66809,922,34.47807312011719,108.16822814941406,0.0805348679423332,0.0680538415908813,0.0726647781451186,2303445.5,781689792.0,5265.611328125,65383,4526.056640625,66507,0.0,1488.59228515625
0.05,correlation_topology_neighbor_fill,1,1,flow_group,mid_flow,overall,True,69848,69848,656,49.42195129394531,120.88753509521484,0.0223120097070932,0.022594241425395,0.0849352633976791,3452024.5,1020744512.0,1558.44921875,69848,1578.16259765625,69848,1488.59521484375,2911.885498046875
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,long,True,12810,12810,114,41.75511169433594,101.64039611816406,0.0247073788195848,0.025694428011775,0.0133625473613691,534883.0,132337168.0,315.4638061523437,12768,329.1456298828125,12810,0.0,7606.36376953125
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,mid,True,19110,19110,176,61.68826675415039,151.82492065429688,0.038087423890829,0.0461365580558776,0.0155847959173853,1178862.75,440500928.0,719.509521484375,18891,878.3477783203125,19038,0.0,9741.861328125
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,short,True,169983,169983,1735,48.81791687011719,122.98859405517578,0.0407472476363182,0.0353780053555965,0.0119454524935665,8298216.0,2571195904.0,6878.86865234375,168818,6005.5224609375,169753,0.0,10295.8505859375
0.05,correlation_topology_neighbor_fill,1,1,overall,overall,overall,True,201903,201903,2025,49.587982177734375,124.78783416748048,0.0394750647246837,0.035778671503067,0.0121202064002289,10011962.0,3144034048.0,7913.84228515625,200477,7213.015625,201601,0.0,10295.8505859375
0.05,correlation_topology_neighbor_fill,2,2,flow_group,high_flow,overall,True,62067,62067,441,59.38004684448242,128.0663604736328,0.0152821661904454,0.0155022805556654,0.0175060928106252,3685541.25,1017960448.0,948.5181884765624,62067,962.1800537109376,62067,2911.91259765625,10227.443359375
0.05,correlation_topology_neighbor_fill,2,2,flow_group,low_flow,overall,True,68330,68330,887,35.145896911621094,109.7284927368164,0.0468445196747779,0.0776150375604629,0.0737129923423906,2401519.25,822716544.0,3118.626953125,66574,5281.16015625,68043,0.0,1488.5909423828125
0.05,correlation_topology_neighbor_fill,2,2,flow_group,mid_flow,overall,True,71286,71286,621,47.945091247558594,116.78483581542967,0.0218200236558914,0.0219320710748434,0.0820525699176173,3417813.75,972248192.0,1555.462158203125,71286,1563.4495849609375,71286,1488.5931396484375,2911.885986328125
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,long,True,37823,37823,398,48.381813049316406,117.71693420410156,0.0339484401047229,0.0456794947385787,0.0157129388846097,1829945.25,524123776.0,1268.890869140625,37377,1724.766357421875,37758,0.0,7491.7197265625
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,mid,True,11130,11130,116,58.96141052246094,147.34033203125,0.0389132760465145,0.0556811913847923,0.0195085737308788,656240.5,241623104.0,427.30670166015625,10981,618.283935546875,11104,0.0,7552.59375
0.05,correlation_topology_neighbor_fill,2,2,length_group,overall,short,True,152730,152730,1435,45.95487594604492,115.77522277832033,0.0259051006287336,0.0358198098838329,0.0113200551408769,7018688.0,2047177984.0,3926.41015625,151569,5463.73876953125,152534,0.0,10227.443359375
0.05,correlation_topology_neighbor_fill,2,2,overall,overall,overall,True,201683,201683,1949,47.12778854370117,118.09851837158205,0.0281233023852109,0.0387633815407753,0.0115472180311149,9504874.0,2812925184.0,5622.607421875,199927,7806.7900390625,201396,0.0,10227.443359375
0.05,correlation_topology_neighbor_fill,3,3,flow_group,high_flow,overall,True,62540,62540,415,56.51872253417969,122.954345703125,0.01442451775074,0.0145753966644406,0.0172782136471817,3534681.0,945465344.0,902.1093139648438,62540,911.5452880859376,62540,2911.895751953125,10028.044921875
0.05,correlation_topology_neighbor_fill,3,3,flow_group,low_flow,overall,True,67948,67948,933,33.194068908691406,101.0963134765625,0.1010466367006301,0.0751069113612175,0.0679140048910357,2255470.5,694460096.0,6692.82421875,66235,5080.60693359375,67645,0.0,1488.593017578125
0.05,correlation_topology_neighbor_fill,3,3,flow_group,mid_flow,overall,True,70935,70935,578,46.07188034057617,135.279296875,0.0208899714052677,0.0208667125552892,0.095046714239425,3268108.75,1298145024.0,1481.830078125,70935,1480.1802978515625,70935,1488.59326171875,2911.885986328125
0.05,correlation_topology_neighbor_fill,3,3,length_group,overall,long,True,20173,20173,198,32.57822799682617,79.6880111694336,0.0145582081750035,0.0228516962379217,0.0088767852925556,657200.5625,128102176.0,292.1395568847656,20067,460.4845275878906,20151,0.0,8977.125
0.05,correlation_topology_neighbor_fill,3,3,length_group,overall,mid,True,8190,8190,100,67.2216567993164,151.4314422607422,0.0397799387574195,0.0531074255704879,0.0173772706798151,550545.375,187808848.0,322.4561767578125,8106,434.10009765625,8174,0.0,8714.33984375
0.05,correlation_topology_neighbor_fill,3,3,length_group,overall,short,True,173060,173060,1628,45.36296081542969,123.09239196777344,0.0493314452469348,0.0380667708814144,0.0122748145751981,7850514.0,2622159616.0,8462.16796875,171537,6577.74755859375,172795,0.0,10028.044921875
0.05,correlation_topology_neighbor_fill,3,3,overall,overall,overall,True,201423,201423,1926,44.971317291259766,120.77487182617188,0.0454497188329696,0.0371536016464233,0.0120437106900783,9058258.0,2938070784.0,9076.763671875,199710,7472.33203125,201120,0.0,10028.044921875
0.05,correlation_topology_neighbor_fill,4,4,flow_group,high_flow,overall,True,64597,64597,393,61.57754898071289,136.56236267089844,0.0157252624630928,0.0159654598683118,0.0183959791609812,3977725.0,1204687488.0,1015.8047485351562,64597,1031.32080078125,64597,2911.91064453125,10335.400390625
0.05,correlation_topology_neighbor_fill,4,4,flow_group,low_flow,overall,True,68397,68397,864,32.219627380371094,95.95472717285156,0.0774329677224159,0.0699938237667083,0.0644600195677529,2203725.75,629752320.0,5175.07763671875,66833,4768.189453125,68123,0.0,1488.5928955078125
0.05,correlation_topology_neighbor_fill,4,4,flow_group,mid_flow,overall,True,68306,68306,580,46.82889175415039,114.68450927734376,0.0211231522262096,0.0212325416505336,0.0805770752791608,3198694.25,898397120.0,1442.8380126953125,68306,1450.3099365234375,68306,1488.59521484375,2911.884765625
0.05,correlation_topology_neighbor_fill,4,4,length_group,overall,long,True,23940,23940,225,42.736907958984375,107.79359436035156,0.0270560979843139,0.032961793243885,0.0144441045155361,1023121.5625,278169856.0,643.366943359375,23779,788.3142700195312,23916,0.0,7462.80908203125
0.05,correlation_topology_neighbor_fill,4,4,length_group,overall,mid,True,7770,7770,85,61.84830093383789,150.4359130859375,0.0554549805819988,0.0499315783381462,0.0180087242368645,480561.3125,175842576.0,426.06060791015625,7683,387.0196533203125,7751,0.0,8353.501953125
0.05,correlation_topology_neighbor_fill,4,4,length_group,overall,short,True,169590,169590,1527,46.44414520263672,115.919189453125,0.0390095524489879,0.0358675122261047,0.0112157425036259,7876462.5,2278824704.0,6564.29345703125,168274,6074.48583984375,169359,0.0,10335.400390625
0.05,correlation_topology_neighbor_fill,4,4,overall,overall,overall,True,201300,201300,1837,46.59783935546875,116.5158462524414,0.0382190495729446,0.0360640920698642,0.0112734719361361,9380145.0,2732837120.0,7633.72021484375,199736,7249.81982421875,201026,0.0,10335.400390625
0.05,correlation_topology_neighbor_fill,5,5,flow_group,high_flow,overall,True,66503,66503,430,63.17616653442383,137.3469696044922,0.0160836949944496,0.0163063369691371,0.018790390535097,4201404.5,1254525184.0,1069.614013671875,66503,1084.4202880859375,66503,2911.900146484375,10221.326171875
0.05,correlation_topology_neighbor_fill,5,5,flow_group,low_flow,overall,True,67549,67549,737,30.149547576904297,92.6096420288086,0.0561345294117927,0.0638778507709503,0.0622128993628956,2036571.75,579337088.0,3710.94140625,66108,4297.06298828125,67270,0.0,1488.59228515625
0.05,correlation_topology_neighbor_fill,5,5,flow_group,mid_flow,overall,True,67424,67424,530,46.68703842163086,115.01463317871094,0.0209873598068952,0.0210834182798862,0.0808091166109499,3147826.75,891909312.0,1415.0517578125,67424,1421.5284423828125,67424,1488.59912109375,2911.886962890625
0.05,correlation_topology_neighbor_fill,5,5,length_group,overall,long,True,12810,12810,107,44.910400390625,108.22360229492188,0.0238200183957815,0.0324355661869049,0.0168963238086133,575302.25,150035168.0,301.96636962890625,12677,413.8453979492188,12759,0.0,6405.15673828125
0.05,correlation_topology_neighbor_fill,5,5,length_group,overall,mid,True,24360,24360,191,43.055641174316406,101.3686981201172,0.0187354870140552,0.0228970423340797,0.0110248996382654,1048835.375,250313920.0,455.0475158691406,24288,557.3598022460938,24342,0.0,9194.5234375
0.05,correlation_topology_neighbor_fill,5,5,length_group,overall,short,True,164306,164306,1399,47.23908615112305,118.96636962890624,0.0333512760698795,0.0355389900505542,0.011639034664235,7761665.5,2325422336.0,5438.5927734375,163070,5831.80615234375,164096,0.0,10221.326171875
0.05,correlation_topology_neighbor_fill,5,5,overall,overall,overall,True,201476,201476,1697,46.58522033691406,116.31429290771484,0.0309726148843765,0.0338126868009567,0.0113795696323403,9385804.0,2725771776.0,6195.60693359375,200035,6803.01123046875,201197,0.0,10221.326171875
0.05,correlation_topology_neighbor_fill,6,6,flow_group,high_flow,overall,True,66937,66937,336,62.06102752685547,135.28292846679688,0.0157772116363048,0.0160081982612609,0.0184180652363531,4154179.0,1225045632.0,1056.0792236328125,66937,1071.540771484375,66937,2911.89306640625,10257.0146484375
0.05,correlation_topology_neighbor_fill,6,6,flow_group,low_flow,overall,True,67925,67925,908,30.177955627441406,88.70227813720703,0.0424643158912658,0.0613552294671535,0.0595880080301432,2049837.625,534440288.0,2828.03857421875,66598,4152.52197265625,67680,0.0,1488.5927734375
0.05,correlation_topology_neighbor_fill,6,6,flow_group,mid_flow,overall,True,67457,67457,590,46.5154914855957,111.11661529541016,0.0209231320768594,0.0210815947502851,0.0780699128180854,3137795.5,832884928.0,1411.4117431640625,67457,1422.1011962890625,67457,1488.5931396484375,2911.889404296875
0.05,correlation_topology_neighbor_fill,6,6,length_group,overall,long,True,12600,12600,147,51.01298522949219,119.71956634521484,0.0252808108925819,0.0390506908297538,0.0133418971629507,642763.625,180592960.0,315.63092041015625,12485,491.2186279296875,12579,0.0,8973.2041015625
0.05,correlation_topology_neighbor_fill,6,6,length_group,overall,mid,True,28777,28777,275,46.35149002075195,120.69441223144533,0.0254878513514995,0.0355336181819438,0.013420838390039,1333856.875,419198592.0,728.0859375,28566,1021.3427734375,28743,0.0,8993.060546875
0.05,correlation_topology_neighbor_fill,6,6,length_group,overall,short,True,160942,160942,1412,45.76301956176758,111.26873016357422,0.0265836343169212,0.031934916973114,0.0108480619339394,7365192.0,1992579328.0,4251.81298828125,159941,5133.60205078125,160752,0.0,10257.0146484375
0.05,correlation_topology_neighbor_fill,6,6,overall,overall,overall,True,202319,202319,1834,46.173675537109375,113.19577026367188,0.026346968486905,0.0328897535800933,0.0110359372725391,9341812.0,2592370688.0,5295.52978515625,200992,6646.1640625,202074,0.0,10257.0146484375
0.05,correlation_topology_neighbor_fill,7,7,flow_group,high_flow,overall,False,66490,66490,377,55.914398193359375,116.11573791503906,0.0142265977337956,0.0143569251522421,0.0157362433286572,3717748.25,896475712.0,945.926513671875,66490,954.5919799804688,66490,2911.906494140625,10290.779296875
0.05,correlation_topology_neighbor_fill,7,7,flow_group,low_flow,overall,False,67283,67283,800,28.388296127319336,81.74968719482422,0.0391500815749168,0.0606575943529605,0.0549174690269245,1910049.75,449653056.0,2582.53515625,65965,4067.88037109375,67063,0.0,1488.5916748046875
0.05,correlation_topology_neighbor_fill,7,7,flow_group,mid_flow,overall,False,67769,67769,584,43.65935134887695,103.71411895751952,0.0197058413177728,0.0197451431304216,0.0728692227547066,2958750.5,728965248.0,1335.4451904296875,67769,1338.108642578125,67769,1488.5936279296875,2911.884765625
0.05,correlation_topology_neighbor_fill,7,7,length_group,overall,long,False,14297,14297,126,32.50998306274414,72.62736511230469,0.0235500559210777,0.0193032342940568,0.0089457608586871,464795.25,75412880.0,335.9415588378906,14265,275.97833251953125,14297,0.0,8118.634765625
0.05,correlation_topology_neighbor_fill,7,7,length_group,overall,mid,False,36357,36357,299,44.92471694946289,107.8879165649414,0.0296819508075714,0.0378713645040988,0.0120488192899481,1633328.0,423188320.0,1069.23291015625,36023,1374.8062744140625,36302,0.0,8954.2314453125
0.05,correlation_topology_neighbor_fill,7,7,length_group,overall,short,False,150888,150888,1336,43.0015983581543,102.2159423828125,0.0230680592358112,0.0312480274587869,0.00993276985484,6488425.0,1576492800.0,3458.732666015625,149936,4709.79638671875,150723,0.0,10290.779296875
0.05,correlation_topology_neighbor_fill,7,7,overall,overall,overall,False,201542,201542,1761,42.6042594909668,101.46964263916016,0.0242923256009817,0.0315940678119659,0.0098602486470556,8586548.0,2075094144.0,4863.90673828125,200224,6360.58056640625,201322,0.0,10290.779296875
0.05,correlation_topology_neighbor_fill,8,8,flow_group,high_flow,overall,False,66629,66629,439,61.48351287841797,124.94808197021484,0.0157670695334672,0.0159274581819772,0.0170068653458605,4096585.0,1040213440.0,1050.5440673828125,66629,1061.2305908203125,66629,2911.891357421875,10258.8115234375
0.05,correlation_topology_neighbor_fill,8,8,flow_group,low_flow,overall,False,66439,66439,842,34.218997955322266,101.75084686279295,0.0521343871951103,0.0690689235925674,0.0683538724020716,2273476.0,687858560.0,3392.74951171875,65077,4574.91845703125,66237,0.0,1488.58935546875
0.05,correlation_topology_neighbor_fill,8,8,flow_group,mid_flow,overall,False,68495,68495,607,51.29498291015625,118.1629867553711,0.0231265630573034,0.023293973878026,0.0830208177882298,3513449.75,956360832.0,1584.053955078125,68495,1595.520751953125,68495,1488.59375,2911.88720703125
0.05,correlation_topology_neighbor_fill,8,8,length_group,overall,long,False,20175,20175,274,43.68452835083008,104.81587982177734,0.0238971821963787,0.0312588363885879,0.0131166739873852,881335.375,221649968.0,479.9271240234375,20083,630.55322265625,20172,0.0,7991.041015625
0.05,correlation_topology_neighbor_fill,8,8,length_group,overall,mid,False,20167,20167,184,47.60360336303711,109.1364517211914,0.0254641212522983,0.0356549359858036,0.0125513048659055,960021.875,240204400.0,510.2755126953125,20039,718.589599609375,20154,0.0,8695.2275390625
0.05,correlation_topology_neighbor_fill,8,8,length_group,overall,short,False,161221,161221,1430,49.88278579711914,117.41342163085938,0.0314666181802749,0.0365294925868511,0.0114451290349388,8042152.5,2222578432.0,5037.14453125,160079,5882.52685546875,161035,0.0,10258.8115234375
