seed,method,lambda_value,client_id,mse,rmse,mae,mape
42,Data-loss weighted,0.0,0,6.728198528289795,2.5938771228201607,2.102198600769043,2.7117548510432243
42,Data-loss weighted,0.0,1,20.627628326416016,4.541764891142651,3.6621479988098145,5.930259078741074
42,Data-loss weighted,0.0,2,92.09712219238281,9.596724555408622,7.886012077331543,8.544696122407913
42,Data-loss weighted,0.0,3,17.548206329345703,4.189057928621387,3.287935733795166,4.576588794589043
42,Data-loss weighted,0.0,4,147.9378204345703,12.162969227724384,9.473309516906738,107.35867023468018
42,Data-loss weighted,0.25,0,7.346273422241211,2.7104009707497543,2.209498882293701,2.8533075004816055
42,Data-loss weighted,0.25,1,21.57343101501465,4.644720768250192,3.7447664737701416,6.089869141578674
42,Data-loss weighted,0.25,2,93.98751068115234,9.694715605996514,8.05084228515625,8.74994844198227
42,Data-loss weighted,0.25,3,20.9371395111084,4.575711913036964,3.6097066402435303,5.002540349960327
42,Data-loss weighted,0.25,4,183.1627197265625,13.533762216270924,10.915738105773926,113.88798952102661
42,Data-loss weighted,0.5,0,7.850451946258545,2.8018657973319394,2.291114330291748,2.9630212113261223
42,Data-loss weighted,0.5,1,22.273088455200195,4.719437302814838,3.799844980239868,6.198228895664215
42,Data-loss weighted,0.5,2,93.65145874023438,9.677368378863873,8.031444549560547,8.740606158971786
42,Data-loss weighted,0.5,3,21.495622634887695,4.636337200300221,3.6596295833587646,5.077181756496429
42,Data-loss weighted,0.5,4,181.2274169921875,13.462073279855057,10.844962120056152,113.17746639251709
42,Data-loss weighted,0.75,0,8.42990493774414,2.9034298575553947,2.37907338142395,3.080245666205883
42,Data-loss weighted,0.75,1,22.73212242126465,4.767821559293578,3.8314199447631836,6.26029297709465
42,Data-loss weighted,0.75,2,93.00074005126953,9.643689130787529,7.987949848175049,8.694939315319061
42,Data-loss weighted,0.75,3,21.708755493164062,4.659265552977643,3.687215805053711,5.118073150515556
42,Data-loss weighted,0.75,4,183.1512451171875,13.53333828429584,10.902097702026367,112.56289482116699
42,Data-loss weighted,1.0,0,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
42,Data-loss weighted,1.0,1,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
42,Data-loss weighted,1.0,2,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
42,Data-loss weighted,1.0,3,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
42,Data-loss weighted,1.0,4,174.02450561523438,13.191834808518275,10.594941139221191,112.90007829666138
2024,Data-loss weighted,0.0,0,8.125078201293945,2.8504522801292334,2.298839569091797,2.873789146542549
2024,Data-loss weighted,0.0,1,34.46713638305664,5.870871858851685,4.47747802734375,7.328440994024277
2024,Data-loss weighted,0.0,2,78.25360870361328,8.846106980113529,7.166013717651367,7.803615182638168
2024,Data-loss weighted,0.0,3,20.547609329223633,4.532947090935833,3.4600892066955566,4.42880354821682
2024,Data-loss weighted,0.0,4,106.91046905517578,10.339751885571326,6.589121341705322,97.00539708137512
2024,Data-loss weighted,0.25,0,8.863642692565918,2.977187043597684,2.4002203941345215,3.003454953432083
2024,Data-loss weighted,0.25,1,35.13359069824219,5.927359504724021,4.5373616218566895,7.433243840932846
2024,Data-loss weighted,0.25,2,77.89434051513672,8.825777048800672,7.14442777633667,7.789179682731628
2024,Data-loss weighted,0.25,3,20.402891159057617,4.516955961602639,3.421722650527954,4.374528676271439
2024,Data-loss weighted,0.25,4,106.14183044433594,10.302515733758232,6.569714069366455,100.40367841720581
2024,Data-loss weighted,0.5,0,9.304044723510742,3.0502532228506443,2.464097499847412,3.084513172507286
2024,Data-loss weighted,0.5,1,35.6678466796875,5.97225641442893,4.584316730499268,7.5203947722911835
2024,Data-loss weighted,0.5,2,78.21847534179688,8.844120947940326,7.181008815765381,7.845693081617355
2024,Data-loss weighted,0.5,3,20.534650802612305,4.531517494461685,3.4447216987609863,4.4029369950294495
