seed,method,feature_set,client_id,mse,rmse,mae,mape
42,Proposed,flow_only,0,8.397187232971191,2.8977900601960784,2.37381911277771,3.072654828429222
42,Proposed,flow_only,1,22.716140747070312,4.766145271293177,3.8320975303649902,6.260033696889877
42,Proposed,flow_only,2,93.91639709472656,9.691047265116735,8.053207397460938,8.768163621425629
42,Proposed,flow_only,3,22.89444351196289,4.78481384297894,3.767362594604492,5.214424058794975
42,Proposed,flow_only,4,194.7540283203125,13.955430065759797,11.2758150100708,114.18801546096802
42,Proposed,flow_time,0,16.382932662963867,4.047583558490654,3.4070639610290527,4.401944950222969
42,Proposed,flow_time,1,30.393526077270508,5.513032384928508,4.47111177444458,7.3441483080387115
42,Proposed,flow_time,2,112.75072479248047,10.618414419887767,9.081682205200195,9.946176409721375
42,Proposed,flow_time,3,41.64037322998047,6.452935241421571,5.024147033691406,6.943914294242859
42,Proposed,flow_time,4,323.78436279296875,17.994009080607043,14.9215087890625,134.27417278289795
42,Proposed,flow_event,0,6.947870254516602,2.6358813050887937,2.120192766189575,2.7336442843079567
42,Proposed,flow_event,1,20.87042236328125,4.568415738883804,3.6847023963928223,5.9562817215919495
42,Proposed,flow_event,2,94.21784973144531,9.70658795516969,7.99734354019165,8.636993169784546
42,Proposed,flow_event,3,19.518291473388672,4.417951049229572,3.4971067905426025,4.8416610807180405
42,Proposed,flow_event,4,133.8262939453125,11.568331510866747,8.730843544006348,103.4250020980835
42,Proposed,flow_region,0,6.524965763092041,2.5544012533453,2.0548617839813232,2.6434477418661118
42,Proposed,flow_region,1,20.325895309448242,4.508424925564165,3.630338430404663,5.8455269783735275
42,Proposed,flow_region,2,93.49411010742188,9.669235239015642,7.942922115325928,8.566876500844955
42,Proposed,flow_region,3,17.81089210510254,4.220295262787017,3.3389389514923096,4.637205600738525
42,Proposed,flow_region,4,134.46231079101562,11.59578849371683,8.733075141906738,104.4439435005188
42,Proposed,full,0,17.633962631225586,4.199281204114055,3.5561835765838623,4.596113413572311
42,Proposed,full,1,31.608173370361328,5.622114670687652,4.558053493499756,7.500915974378586
42,Proposed,full,2,115.22671508789062,10.734370735534087,9.210819244384766,10.102223604917526
42,Proposed,full,3,39.37138366699219,6.274662036077496,4.926093101501465,6.828268617391586
42,Proposed,full,4,255.24652099609375,15.976436429820442,12.777060508728027,126.9181489944458
2024,Proposed,flow_only,0,8.839920043945312,2.9732003033676206,2.391467809677124,2.9931969940662384
2024,Proposed,flow_only,1,35.16621780395508,5.930111112277331,4.529302597045898,7.4119932949543
2024,Proposed,flow_only,2,78.1434555053711,8.839878704222762,7.169764995574951,7.824912667274475
2024,Proposed,flow_only,3,20.344240188598633,4.51045897759847,3.419694662094116,4.357389733195305
2024,Proposed,flow_only,4,109.33283233642578,10.456234137414185,6.851537704467773,102.70403623580933
2024,Proposed,flow_time,0,16.376548767089844,4.046794875835671,3.4364707469940186,4.288032278418541
2024,Proposed,flow_time,1,45.18508529663086,6.721985219905713,5.378859996795654,8.940158784389496
2024,Proposed,flow_time,2,95.17208099365234,9.755617919622127,8.045120239257812,8.924568444490433
2024,Proposed,flow_time,3,29.979768753051758,5.475378411859015,4.520909309387207,5.81720657646656
2024,Proposed,flow_time,4,160.81060791015625,12.681112250514788,8.638046264648438,135.4547381401062
2024,Proposed,flow_event,0,7.7227463722229,2.778982974439192,2.214474678039551,2.769912965595722
2024,Proposed,flow_event,1,35.57639694213867,5.964595287371866,4.522120952606201,7.401997596025467
2024,Proposed,flow_event,2,87.49996948242188,9.354141835701546,7.628437519073486,8.411134034395218
2024,Proposed,flow_event,3,23.8507137298584,4.883719251744351,3.887209177017212,4.924263432621956
2024,Proposed,flow_event,4,112.21515655517578,10.593165558754182,7.834750175476074,114.48148488998413
2024,Proposed,flow_region,0,6.8859381675720215,2.6241071181588644,2.076641082763672,2.5941193103790283
2024,Proposed,flow_region,1,34.502418518066406,5.873875936557258,4.414278030395508,7.184835523366928
2024,Proposed,flow_region,2,86.38285827636719,9.294237907239474,7.53590726852417,8.283381164073944
2024,Proposed,flow_region,3,22.56704330444336,4.750478218500045,3.7502315044403076,4.735045880079269
2024,Proposed,flow_region,4,131.5910186767578,11.4713128575921,8.38292121887207,112.1236801147461
2024,Proposed,full,0,16.139963150024414,4.017457299091605,3.350212574005127,4.173280671238899
2024,Proposed,full,1,40.70194625854492,6.3798076976147895,4.9364166259765625,8.120214939117432
2024,Proposed,full,2,100.39987182617188,10.01997364398589,8.121865272521973,8.92985463142395
2024,Proposed,full,3,30.498140335083008,5.522512139876472,4.448019504547119,5.658985301852226
2024,Proposed,full,4,214.8218231201172,14.656801258123043,11.114272117614746,141.65332317352295
2025,Proposed,flow_only,0,5.608133792877197,2.368149867064413,1.8813968896865845,2.473316714167595
2025,Proposed,flow_only,1,20.573463439941406,4.535797993731799,3.4298319816589355,5.282505229115486
