seed,feature_set,method,client_id,mse,rmse,mae
42,flow_only,FedAvg,0,8.55314826965332,2.924576596646653,2.3974099159240723
42,flow_only,FedAvg,1,23.632198333740234,4.8612959520831724,3.903688669204712
42,flow_only,FedAvg,2,91.51396179199219,9.56629300157549,7.910142421722412
42,flow_only,FedAvg,3,17.320423126220703,4.161781244397728,3.2921485900878906
42,flow_only,FedAvg,4,122.60245513916016,11.072599294617328,8.212691307067871
42,flow_only,Proposed,0,8.31010913848877,2.882725990878906,2.3576345443725586
42,flow_only,Proposed,1,23.381277084350586,4.835419018487497,3.8845815658569336
42,flow_only,Proposed,2,91.92044067382812,9.587514833043448,7.913910388946533
42,flow_only,Proposed,3,17.130996704101562,4.138960824180577,3.2775113582611084
42,flow_only,Proposed,4,120.58625030517578,10.981177091057942,8.120206832885742
2024,flow_only,FedAvg,0,7.390013694763184,2.718457962662506,2.1756198406219482
2024,flow_only,FedAvg,1,34.11763381958008,5.8410302019061735,4.402255535125732
2024,flow_only,FedAvg,2,79.16413879394531,8.897423154708632,7.241927146911621
2024,flow_only,FedAvg,3,20.07183074951172,4.480159679019456,3.373932361602783
2024,flow_only,FedAvg,4,111.53620910644531,10.561070452678806,6.953459739685059
2024,flow_only,Proposed,0,7.341548919677734,2.709529280092344,2.1700618267059326
2024,flow_only,Proposed,1,34.36170196533203,5.861885529872793,4.442107200622559
2024,flow_only,Proposed,2,78.96259307861328,8.886089864423681,7.24492073059082
2024,flow_only,Proposed,3,20.4575252532959,4.522999585816463,3.4138777256011963
2024,flow_only,Proposed,4,108.53178405761719,10.417858899870797,6.8033766746521
2025,flow_only,FedAvg,0,6.491132736206055,2.54777014979885,2.054450750350952
2025,flow_only,FedAvg,1,19.984600067138672,4.4704138585972855,3.429396867752075
2025,flow_only,FedAvg,2,96.31404113769531,9.813971731042194,7.6560468673706055
2025,flow_only,FedAvg,3,23.58045196533203,4.855970754167701,3.8535900115966797
2025,flow_only,FedAvg,4,441.83441162109375,21.019857554728905,18.079187393188477
2025,flow_only,Proposed,0,6.019593238830566,2.453485936138735,1.9668363332748413
